campaign,scope,metric,samples,mean,std,min,max
post_seed100,campaign,trajectories,1,1.0,0.0,1.0,1.0
post_seed100,campaign,redesign_candidates,1,0.0,0.0,0.0,0.0
post_seed100,campaign,accepted_designs,1,0.0,0.0,0.0,0.0
post_seed100,campaign,terminated:mutate,1,1.0,0.0,1.0,1.0
post_seed100,anneal,hPDL1.binder_contacts,1,3.3,0.0,3.3,3.3
post_seed100,anneal,hPDL1.binder_helicity,1,-1.2,0.0,-1.2,-1.2
post_seed100,anneal,hPDL1.binder_pae,1,0.15,0.0,0.15,0.15
post_seed100,anneal,hPDL1.compactness,1,1.7,0.0,1.7,1.7
post_seed100,anneal,hPDL1.interface_contacts,1,0.81,0.0,0.81,0.81
post_seed100,anneal,hPDL1.interface_pae,1,0.03,0.0,0.03,0.03
post_seed100,anneal,hPDL1.iptm,1,0.71,0.0,0.71,0.71
post_seed100,anneal,hPDL1.iptm_loss,1,0.01,0.0,0.01,0.01
post_seed100,anneal,hPDL1.plddt_loss,1,0.03,0.0,0.03,0.03
post_seed100,anneal,hPDL1.ptm,1,0.72,0.0,0.72,0.72
post_seed100,final,length,1,71.0,0.0,71.0,71.0
post_seed100,final,trajectory,1,1.0,0.0,1.0,1.0
post_seed100,harden,hPDL1.binder_contacts,1,3.1,0.0,3.1,3.1
post_seed100,harden,hPDL1.binder_helicity,1,-1.3,0.0,-1.3,-1.3
post_seed100,harden,hPDL1.binder_pae,1,0.14,0.0,0.14,0.14
post_seed100,harden,hPDL1.compactness,1,1.6,0.0,1.6,1.6
post_seed100,harden,hPDL1.interface_contacts,1,0.65,0.0,0.65,0.65
post_seed100,harden,hPDL1.interface_pae,1,0.03,0.0,0.03,0.03
post_seed100,harden,hPDL1.iptm,1,0.74,0.0,0.74,0.74
post_seed100,harden,hPDL1.iptm_loss,1,0.01,0.0,0.01,0.01
post_seed100,harden,hPDL1.plddt_loss,1,0.03,0.0,0.03,0.03
post_seed100,harden,hPDL1.ptm,1,0.74,0.0,0.74,0.74
post_seed100,mutate,hPDL1.iptm,1,0.11,0.0,0.11,0.11
post_seed100,mutate,hPDL1.ptm,1,0.59,0.0,0.59,0.59
post_seed100,refine,hPDL1.binder_contacts,1,3.2,0.0,3.2,3.2
post_seed100,refine,hPDL1.binder_helicity,1,-1.2,0.0,-1.2,-1.2
post_seed100,refine,hPDL1.binder_pae,1,0.14,0.0,0.14,0.14
post_seed100,refine,hPDL1.compactness,1,1.6,0.0,1.6,1.6
post_seed100,refine,hPDL1.interface_contacts,1,0.73,0.0,0.73,0.73
post_seed100,refine,hPDL1.interface_pae,1,0.03,0.0,0.03,0.03
post_seed100,refine,hPDL1.iptm,1,0.74,0.0,0.74,0.74
post_seed100,refine,hPDL1.iptm_loss,1,0.01,0.0,0.01,0.01
post_seed100,refine,hPDL1.plddt_loss,1,0.03,0.0,0.03,0.03
post_seed100,refine,hPDL1.ptm,1,0.75,0.0,0.75,0.75
post_seed100,screen,hPDL1.binder_contacts,1,3.1,0.0,3.1,3.1
post_seed100,screen,hPDL1.binder_helicity,1,-1.3,0.0,-1.3,-1.3
post_seed100,screen,hPDL1.binder_pae,1,0.14,0.0,0.14,0.14
post_seed100,screen,hPDL1.compactness,1,1.7,0.0,1.7,1.7
post_seed100,screen,hPDL1.interface_contacts,1,0.7,0.0,0.7,0.7
post_seed100,screen,hPDL1.interface_pae,1,0.03,0.0,0.03,0.03
post_seed100,screen,hPDL1.iptm,1,0.76,0.0,0.76,0.76
post_seed100,screen,hPDL1.iptm_loss,1,0.01,0.0,0.01,0.01
post_seed100,screen,hPDL1.plddt_loss,1,0.03,0.0,0.03,0.03
post_seed100,screen,hPDL1.ptm,1,0.75,0.0,0.75,0.75
post_seed100,trajectory,hPDL1.binder_contacts,1,3.2,0.0,3.2,3.2
post_seed100,trajectory,hPDL1.binder_helicity,1,-1.3,0.0,-1.3,-1.3
post_seed100,trajectory,hPDL1.binder_pae,1,0.14,0.0,0.14,0.14
post_seed100,trajectory,hPDL1.compactness,1,1.7,0.0,1.7,1.7
post_seed100,trajectory,hPDL1.interface_contacts,1,0.74,0.0,0.74,0.74
post_seed100,trajectory,hPDL1.interface_pae,1,0.03,0.0,0.03,0.03
post_seed100,trajectory,hPDL1.iptm,1,0.67,0.0,0.67,0.67
post_seed100,trajectory,hPDL1.iptm_loss,1,0.01,0.0,0.01,0.01
post_seed100,trajectory,hPDL1.plddt_loss,1,0.03,0.0,0.03,0.03
post_seed100,trajectory,hPDL1.ptm,1,0.72,0.0,0.72,0.72
